sweetiepiecat	TheCatTweeting	only1nabil	CatsRuleNews	AndreasKalo	sageryerson	AcadieSon	mathryerson	TorontoStar	TetraRyerson	ElDiabloZoe	RyersonU
0	0	0.012381667	0	0	0	0.008540791	0	0.004709309	0	0	0
0	0	0.006190834	0	0.007476978	0	0	0	0	0	0	0.001560263
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0	0.006190834	0	0	0	0.008540791	0	0.009418619	0	0	0
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0	0.016003073	0	0	0	0	0	0	0	0	0.00201661
0	0.008670321	0.004906119	0.034118371	0	0	0	0	0.003732039	0	0	0
0	0	0	0	0	0	0.011038812	0	0	0	0	0.00201661
0	0.008670321	0	0	0	0	0.013536833	0.023817282	0.003732039	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0.008670321	0	0.034118371	0	0	0.006768417	0	0.003732039	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0.00115854	0.008670321	0	0	0	0	0.013536833	0	0.003732039	0	0	0
0.001889497	0	0	0	0	0	0	0	0.006086694	0	0	0
0	0	0.016003073	0	0	0	0	0	0	0	0	0.00201661
0.005240909	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0.006086694	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0.001889497	0	0.008001536	0	0	0	0	0	0	0	0	0
0.003778994	0	0	0	0	0	0	0	0.012173388	0	0	0
0.002923829	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0.007476978	0	0.008540791	0	0.009418619	0	0	0
0	0	0.004906119	0	0.005925364	0	0	0	0.003732039	0	0	0.001236479
0.002923829	0	0	0	0	0	0.017081582	0	0	0	0	0.001560263
0.001461915	0	0	0	0	0	0.008540791	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0	0.012173388	0	0	0.00201661
0	0	0.006190834	0	0	0	0.008540791	0	0.004709309	0	0	0
0	0	0	0	0.014953955	0	0.008540791	0	0.004709309	0	0	0
0	0	0.033290859	0	0	0	0	0	0	0	0	0
0.00115854	0	0.009812239	0	0.005925364	0	0	0	0	0	0	0.001236479
0	0	0	0	0	0	0	0	0.018260082	0	0	0.004033221
0	0	0.006190834	0	0	0	0	0.030054064	0.004709309	0	0	0
0	0	0	0	0.007476978	0	0.008540791	0	0.004709309	0	0	0
0.00115854	0	0	0	0.005925364	0	0.006768417	0	0	0	0	0.001236479
0	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0.001560263
9.23E-04	0	0.003909618	0	0	0	0.010787313	0	0.00297401	0	0	9.85E-04
0	0	0	0	0.011850729	0	0.006768417	0	0.007464079	0	0	0.001236479
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0	0	0	0	0	0.008540791	0	0.004709309	0	0	0.003120526
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0	0.006190834	0	0	0	0	0	0.014127928	0	0	0.001560263
0.001889497	0	0	0	0	0	0.011038812	0	0	0	0	0
0	0	0.012381667	0	0.014953955	0	0.008540791	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0.014140685	0	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0.001560263
0	0	0	0.055644667	0	0	0	0	0	0	0	0.004033221
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0.02828137	0	0	0	0	0	0	0.006086694	0	0	0
0	0.008670321	0.004906119	0	0.005925364	0	0.006768417	0	0	0	0	0
0.00115854	0	0.004906119	0	0.005925364	0	0	0	0.003732039	0	0	0
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0.001461915	0	0	0	0	0	0.008540791	0	0.004709309	0	0	0
0	0.014140685	0	0	0	0	0	0	0	0	0	0.004033221
0.001461915	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0
0	0	0	0	0.014953955	0	0.008540791	0	0.009418619	0	0	0
0.002923829	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0
9.23E-04	0	0.003909618	0	0.00944368	0	0.005393656	0	0.00297401	0	0	0
0	0	0	0	0	0	0	0.053871345	0	0	0	0
0	0	0	0	0	0	0	0	0.012173388	0	0	0.00201661
0.001461915	0	0	0	0	0	0.008540791	0	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0	0	0.030618415	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0.038844314	0	0	0	0
0	0	0.004906119	0	0.011850729	0	0.006768417	0	0	0	0	0.001236479
0	0.008670321	0.004906119	0	0	0	0.006768417	0	0	0	0	0.001236479
0	0	0.008001536	0	0	0	0	0	0	0	0	0.006049831
0	0	0	0	0	0	0	0	0.012173388	0	0	0.00201661
0	0	0	0	0.007476978	0	0.017081582	0	0.009418619	0	0	0
0	0	0.006190834	0	0	0	0.017081582	0	0.014127928	0	0	0
0	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0.001560263
0	0.008670321	0	0.034118371	0.005925364	0	0.006768417	0	0	0	0	0
0	0	0.009812239	0	0	0	0.006768417	0	0.003732039	0	0	0.001236479
0	0.008670321	0.009812239	0	0.005925364	0	0	0	0.003732039	0	0	0
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0.001560263
0	0.010940727	0	0	0	0	0.008540791	0	0	0	0	0.001560263
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0.010940727	0.006190834	0	0	0	0	0	0.009418619	0	0	0
0.001461915	0	0	0	0.007476978	0	0	0.030054064	0	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0.002923829	0.010940727	0	0	0	0	0	0	0.004709309	0	0	0
0	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0.001560263
0	0	0.004906119	0	0	0	0.013536833	0	0.014928157	0	0	0.002472958
0	0.006909258	0.003909618	0	0	0	0.010787313	0	0.00297401	0	0	9.85E-04
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0	0	0.012173388	0	0	0.004033221
0.001461915	0	0.006190834	0	0	0	0	0	0.028255856	0	0	0
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0	0	0	0	0	0	0.038844314	0.024346776	0	0	0
0.001461915	0	0.012381667	0	0	0	0	0	0.009418619	0	0	0
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0.007476978	0	0.008540791	0	0	0	0	0.001560263
0	0	0.006190834	0	0.007476978	0	0	0	0.004709309	0	0	0
0.001461915	0	0	0.043052591	0	0	0	0	0	0	0	0.004680789
0	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0.001560263
0	0	0	0	0.019327706	0	0	0	0.018260082	0	0	0
0.002923829	0.010940727	0	0	0.007476978	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0.002923829	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0.006909258	0	0	0	0	0.010787313	0.018979658	0.00594802	0	0	9.85E-04
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0	0	0.018572501	0	0.007476978	0	0	0	0	0	0	0.001560263
0	0	0.016003073	0	0	0	0	0	0	0	0	0.00201661
0	0.010940727	0	0	0	0	0	0	0.014127928	0	0	0.001560263
0	0.008670321	0	0	0.011850729	0	0	0	0.003732039	0	0	0.001236479
0.001889497	0	0	0	0	0	0	0	0	0	0	0.004033221
0	0	0.008001536	0	0.009663853	0	0	0	0	0	0	0
0.001889497	0	0	0	0.009663853	0	0	0	0	0	0	0
0	0.010940727	0.018572501	0	0	0	0	0	0	0	0	0.003120526
0.00115854	0.026010964	0	0	0.005925364	0	0	0	0.003732039	0	0	0
0	0.021881455	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0	0	0.012381667	0	0.007476978	0	0	0	0.009418619	0	0	0
0.001889497	0	0.008001536	0	0	0	0	0	0	0	0	0
0	0.010940727	0.006190834	0	0	0	0	0	0	0	0	0.001560263
0	0	0	0	0.007476978	0	0	0	0.018837237	0	0	0.001560263
0	0.013818515	0.003909618	0	0.00472184	0	0	0	0.00892203	0	0	9.85E-04
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0.014140685	0.016003073	0	0	0	0	0	0	0	0	0
7.31E-04	0.005470364	0.003095417	0	0.003738489	0	0	0	0.004709309	0	0	7.80E-04
0	0	0	0	0	0	0.011038812	0	0.018260082	0	0	0
0	0	0	0	0	0	0	0.053871345	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0	0	0	0.004033221
0.001889497	0	0	0	0	0	0	0	0.006086694	0	0	0
0	0	0	0	0.009663853	0	0	0	0.012173388	0	0	0
0	0.010940727	0.012381667	0	0	0	0	0	0.004709309	0	0	0
0.001461915	0	0.012381667	0	0.007476978	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0.001560263
0	0	0.008001536	0	0	0	0.011038812	0	0	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0	0	0.018260082	0	0	0.004033221
0	0	0	0	0.038655413	0	0	0	0.006086694	0	0	0
9.23E-04	0.006909258	0.003909618	0	0.00472184	0	0	0	0.00594802	0	0	0
0	0	0.009812239	0	0	0	0.006768417	0	0.011196118	0	0	0.001236479
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0	0	0	0	0	0.011038812	0	0.012173388	0	0	0
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0.010940727	0	0	0.014953955	0	0	0	0.014127928	0	0	0
0	0	0.006190834	0	0.007476978	0	0	0	0.004709309	0	0	0
0.001889497	0	0	0	0	0	0	0	0.012173388	0	0	0
0	0	0	0	0.009663853	0	0	0	0.006086694	0	0	0
0	0.010940727	0	0	0	0	0.008540791	0	0.009418619	0	0	0
0	0.014140685	0	0	0	0	0	0	0	0	0	0.00201661
0	0.014140685	0	0	0	0	0	0	0.006086694	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0.001461915	0.021881455	0	0	0	0	0	0	0.004709309	0	0	0
9.23E-04	0.006909258	0	0	0.00472184	0	0.005393656	0	0	0	0	9.85E-04
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0.008001536	0	0.009663853	0	0	0	0	0	0	0
0	0.02828137	0	0	0.009663853	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.012173388	0	0	0.004033221
0.001889497	0	0	0	0	0	0	0	0.006086694	0	0	0
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0.010940727	0.012381667	0	0	0	0	0	0.004709309	0	0	0
0.00231708	0	0	0	0	0	0.013536833	0	0.003732039	0	0	0.001236479
0.001461915	0	0.012381667	0	0	0	0	0	0.004709309	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0.001461915	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0.012173388	0	0	0.004033221
0	0.008670321	0.004906119	0	0	0	0.006768417	0	0.003732039	0	0	0
0	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0.001560263
0	0.021881455	0.012381667	0	0	0	0	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0.008001536	0	0.009663853	0	0	0	0	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0.008670321	0	0	0.005925364	0	0.006768417	0	0	0	0	0.002472958
0	0	0	0	0.007476978	0	0.008540791	0	0.009418619	0	0	0
0	0	0	0	0	0	0.008540791	0	0.004709309	0	0	0.001560263
0	0	0	0.034118371	0	0	0.006768417	0	0.007464079	0	0	0.003709437
9.23E-04	0	0.007819236	0	0	0	0.005393656	0	0.00297401	0	0	9.85E-04
0	0.010940727	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0	0	0.004906119	0	0.005925364	0	0	0	0.003732039	0	0	0.001236479
0	0	0	0	0	0	0.011038812	0.038844314	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0.001889497	0	0	0	0	0	0	0	0.012173388	0	0	0
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0	0	0	0	0	0.030054064	0.009418619	0	0	0.001560263
9.23E-04	0	0.003909618	0	0	0	0	0	0.00297401	0.131352208	0	9.85E-04
0	0	0	0	0	0	0	0	0.016882697	0	0	0
9.23E-04	0	0.003909618	0	0.00472184	0	0	0.018979658	0.00594802	0	0	0
0.005240909	0	0	0	0	0	0	0	0	0	0	0
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0.00115854	0	0.004906119	0	0.005925364	0	0	0	0.003732039	0	0	0
0	0.008670321	0.009812239	0.034118371	0.005925364	0	0	0	0	0	0	0
0	0.010940727	0	0	0	0	0	0	0.014127928	0	0	0.003120526
0.001889497	0	0	0	0	0	0.022077624	0	0	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0.00115854	0.008670321	0.004906119	0	0	0	0	0	0.007464079	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0	0	0	0.001560263
0.00115854	0.008670321	0	0	0	0	0.006768417	0	0.003732039	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.012173388	0	0	0.00201661
0	0	0	0	0	0	0	0	0	0	0	0.005593484
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0.007476978	0	0.008540791	0	0.004709309	0	0	0
0.001461915	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0.012173388	0	0	0.004033221
0	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0.001560263
0.001461915	0	0.012381667	0	0	0	0	0	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0.006086694	0	0	0.006049831
0	0	0.024004609	0	0.009663853	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0.001461915	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0
0	0	0.009812239	0	0.011850729	0	0	0	0.003732039	0	0	0.001236479
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0.001461915	0	0.012381667	0	0	0	0	0	0.014127928	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0.024004609	0	0.009663853	0	0	0	0	0	0	0
0.001461915	0	0	0	0	0	0	0	0.004709309	0	0	0.001560263
0.001461915	0	0	0	0.007476978	0	0	0	0	0	0	0.001560263
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.018260082	0	0	0.00201661
0	0	0	0	0.026804684	0	0	0	0	0	0	0
0.002923829	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0
0.001461915	0	0.006190834	0	0	0	0.008540791	0	0	0	0	0
9.23E-04	0.006909258	0	0	0.00472184	0	0.005393656	0	0.00297401	0	0	0
0	0	0	0	0	0	0.022077624	0	0.006086694	0	0	0
0.00115854	0	0.009812239	0	0	0	0	0	0.011196118	0	0	0.001236479
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0.001461915	0	0	0	0	0	0.008540791	0	0.004709309	0	0	0
0	0.014140685	0	0	0	0	0.011038812	0	0	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0	0	0.019327706	0	0.011038812	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0.006086694	0	0	0
0.001889497	0	0.008001536	0	0	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0.006086694	0	0	0
0	0	0.008001536	0	0	0	0	0	0.03043347	0	0	0
0	0.010940727	0	0	0	0	0.008540791	0	0.009418619	0	0	0
0	0	0.022193906	0	0	0	0	0	0	0	0	0
0.001461915	0.005470364	0.006190834	0	0	0	0.004270395	0.015027032	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0	0	0	0	0.022077624	0	0.006086694	0	0	0
0	0	0	0	0.019327706	0	0	0	0.006086694	0	0	0
0	0	0.006190834	0	0	0	0	0.030054064	0.009418619	0	0	0
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0.010940727	0.006190834	0	0	0	0	0	0.009418619	0	0	0
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0	0	0.022077624	0	0	0	0	0.00201661
0.001461915	0	0	0	0	0	0	0	0.009418619	0	0	0.001560263
0.004385744	0	0	0	0	0	0.008540791	0	0	0	0	0.001560263
0.00115854	0	0.004906119	0	0	0	0.006768417	0	0	0	0	0.001236479
0.001461915	0.010940727	0	0	0	0	0	0	0	0	0	0.001560263
0	0	0	0	0.009663853	0	0	0	0.006086694	0	0	0
0	0	0.006190834	0	0.007476978	0	0	0	0	0	0	0.001560263
0	0	0.008001536	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0	0.010940727	0	0	0.007476978	0	0	0	0.009418619	0	0	0
0	0	0	0	0.026804684	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0.014140685	0	0	0	0	0	0	0.012173388	0	0	0
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0	0	0.018572501	0	0	0	0.008540791	0	0	0	0	0.001560263
0	0	0	0	0.009663853	0	0	0	0	0	0	0.004033221
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0.00231708	0.008670321	0	0	0.011850729	0	0	0	0.007464079	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0	0.004906119	0	0.005925364	0	0.006768417	0	0.003732039	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.030054064	0.004709309	0	0	0.001560263
0	0	0.024004609	0	0.009663853	0	0	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0.006086694	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0.012381667	0	0.007476978	0	0	0	0.004709309	0	0	0
0	0	0.012381667	0	0	0	0	0	0.009418619	0	0	0.004680789
0	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0.004680789
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0	0.043052591	0	0	0	0	0.014127928	0	0	0.003120526
0	0	0.016003073	0	0	0	0	0	0.018260082	0	0	0
0	0	0.004906119	0	0.005925364	0	0	0	0.003732039	0	0	0.001236479
0	0.010940727	0	0	0	0	0.008540791	0	0.014127928	0	0	0
0.002923829	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0	0.022193906	0	0	0	0	0	0	0	0	0
0	0.02828137	0	0	0	0	0	0	0.018260082	0	0	0
0	0	0	0	0	0	0.030618415	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0	0	0	0.00201661
9.23E-04	0.006909258	0.003909618	0	0.00472184	0	0.005393656	0	0	0	0	0
0	0	0	0	0.026804684	0	0	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0.006086694	0	0	0
0.00115854	0	0	0.034118371	0	0	0	0	0.007464079	0	0	0.001236479
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0.002923829	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0
0.00115854	0	0.009812239	0	0.005925364	0	0	0	0.003732039	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0.001560263
0	0.008670321	0	0	0.005925364	0	0.006768417	0	0.003732039	0	0	0
0	0	0	0	0	0	0	0	0.018260082	0	0	0.00201661
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0.010940727	0	0	0.007476978	0	0.017081582	0	0	0	0	0
0	0	0	0	0	0	0	0.030054064	0.004709309	0	0	0.001560263
0.001461915	0.010940727	0	0	0	0	0.008540791	0	0	0	0	0
0	0	0	0	0.014953955	0	0	0	0.009418619	0	0	0.001560263
0	0	0	0	0.009663853	0	0	0	0.012173388	0	0	0
0	0.021881455	0	0	0	0	0.008540791	0.030054064	0	0	0	0
0.001461915	0	0	0	0	0	0	0	0.009418619	0	0	0.001560263
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0.008001536	0	0.019327706	0	0	0	0	0	0	0
0	0.014140685	0	0	0.009663853	0	0	0	0	0	0	0
0	0.014140685	0	0	0.019327706	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0.00115854	0	0.014718358	0	0.005925364	0	0.006768417	0	0	0	0	0
0	0	0.008001536	0	0	0	0.011038812	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0.001461915	0	0	0	0	0	0.017081582	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0	0	0.014953955	0	0.008540791	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0.038844314	0.006086694	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0
0.001461915	0	0	0	0.007476978	0	0	0	0	0	0	0.001560263
0.00231708	0.017340643	0.004906119	0	0	0	0.006768417	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0.001461915	0	0	0	0.007476978	0	0	0	0	0	0	0.001560263
0	0	0	0	0.019327706	0	0	0	0.006086694	0	0	0
0.001461915	0.010940727	0	0	0	0	0	0	0	0	0	0.003120526
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0.010940727	0	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0.014140685	0.008001536	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0.009663853	0	0	0	0	0	0	0.004033221
0.001889497	0	0	0	0	0	0.022077624	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0.019327706	0	0	0	0.018260082	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0.00115854	0.008670321	0.004906119	0	0	0	0	0	0	0	0	0.001236479
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0	0.006190834	0	0	0	0.017081582	0	0.018837237	0	0	0
0.00115854	0.008670321	0	0	0	0	0.006768417	0	0.003732039	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0	0	0	0.009663853	0	0	0	0	0	0	0.004033221
0	0	0	0	0.007476978	0	0.008540791	0	0	0	0	0.001560263
0	0	0	0	0.014953955	0	0.008540791	0	0	0	0	0.001560263
0.001889497	0	0	0	0	0	0.011038812	0	0	0	0	0
0.001461915	0	0	0	0	0	0.008540791	0	0	0	0	0.001560263
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0	0	0	0.009663853	0	0	0	0	0	0	0.00201661
0	0	0.008001536	0	0.009663853	0	0	0	0	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0.012173388	0	0	0
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0.00115854	0	0	0	0	0	0	0.023817282	0.003732039	0	0	0.001236479
0.00115854	0	0	0	0.005925364	0	0	0	0.003732039	0	0	0.002472958
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0.038844314	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0.019327706	0	0	0	0	0	0	0.004033221
0	0.010940727	0	0	0.014953955	0	0	0	0.004709309	0	0	0
0	0	0	0	0.009663853	0	0	0	0.012173388	0	0	0
0	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0.001560263
0	0	0.006190834	0	0.007476978	0	0	0	0.014127928	0	0	0
0.002923829	0	0.006190834	0	0	0	0	0	0	0	0	0.001560263
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0.001461915	0.010940727	0.006190834	0	0	0	0	0	0	0	0	0
0	0.006909258	0.007819236	0	0.00472184	0	0	0	0.00297401	0	0	0.001970666
0.00115854	0	0.004906119	0	0.005925364	0	0	0	0.003732039	0	0	0
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0.025622372	0	0	0	0	0.001560263
0	0	0.008001536	0	0.009663853	0	0	0	0	0	0	0
0.001461915	0	0	0	0	0	0.008540791	0	0.004709309	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0.001461915	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0
0.001889497	0	0	0	0	0	0.011038812	0	0	0	0	0
0	0.014140685	0	0	0.009663853	0	0	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0	0.014140685	0.016003073	0	0	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0.008540791	0	0.023546547	0	0	0
0	0.008670321	0.004906119	0	0	0	0	0	0.007464079	0	0	0.001236479
0	0	0.014718358	0	0.005925364	0	0.006768417	0	0	0	0	0.001236479
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0.012173388	0	0	0
0	0	0.006190834	0	0	0	0.008540791	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0	0.050648092	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0	0	0.014953955	0	0.008540791	0	0.018837237	0	0	0
0	0.014140685	0	0	0	0	0	0	0.012173388	0	0	0
0.001889497	0.014140685	0	0	0	0	0	0	0	0	0	0
0.001461915	0	0	0	0.007476978	0	0	0	0	0	0	0.001560263
0	0.010940727	0	0	0.007476978	0	0	0	0.009418619	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0.002923829	0.010940727	0	0	0	0	0	0	0.009418619	0	0	0
0.001461915	0	0	0	0.014953955	0	0	0	0.009418619	0	0	0
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0	0	0	0	0	0	0	0	0	0	0.002796742
